"Mes","Dia","Ano","Hora","Minutos","Dia da semana","free_flow_distance","total_time","total_speed","diif_ranker","length_in_meters","delay_in_seconds","incidente","temperature","atmospheric_pressure","humidity","wind_speed","cloudiness","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,25,2018,0,0,4,351.0,9.0,39.0,0.0,0,0,0,17,1016,100,1,75,1,0,0,0,0
7,25,2018,1,0,4,351.0,9.0,39.0,0.0,0,0,0,17,1015,100,2,75,1,0,0,0,0
7,25,2018,2,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,3,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,4,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,1,75,1,0,0,0,0
7,25,2018,5,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,6,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,25,2018,7,0,4,351.0,9.0,39.0,0.0,0,0,0,17,1016,100,2,75,1,0,0,0,0
7,25,2018,8,0,4,351.0,12.0,29.25,9.75,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,25,2018,9,0,4,351.0,9.0,39.0,0.0,0,0,0,21,1016,77,0,75,1,0,0,0,0
7,25,2018,10,0,4,351.0,9.0,39.0,0.0,0,0,0,21,1016,83,2,40,1,0,0,0,0
7,25,2018,11,0,4,351.0,9.0,39.0,0.0,0,0,0,20,1016,88,3,75,1,0,0,0,0
7,25,2018,12,0,4,351.0,9.0,39.0,0.0,0,0,0,20,1015,88,3,75,1,0,0,0,0
7,25,2018,13,0,4,351.0,9.0,39.0,0.0,0,0,0,20,1015,88,2,75,1,0,0,0,0
7,25,2018,14,0,4,351.0,12.0,29.25,9.75,0,0,0,20,1015,88,3,40,1,0,0,0,0
7,25,2018,15,0,4,351.0,15.0,23.4,15.600000000000001,1360,298,1,19,1015,88,3,40,1,0,0,0,0
7,25,2018,16,0,4,351.0,9.0,39.0,0.0,540,59,1,20,1015,82,2,20,1,0,0,0,0
7,25,2018,17,0,4,351.0,16.0,21.9375,17.0625,470,31,1,19,1015,88,2,75,1,0,0,0,0
7,25,2018,18,0,4,351.0,16.0,21.9375,17.0625,0,0,0,18,1015,100,1,75,1,0,0,0,0
7,25,2018,19,0,4,351.0,12.0,29.25,9.75,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,25,2018,20,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,25,2018,21,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1016,100,3,75,1,0,0,0,0
7,25,2018,22,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,25,2018,23,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1016,100,3,75,1,0,0,0,0
7,26,2018,0,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1016,100,1,75,1,0,0,0,0
7,26,2018,1,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,26,2018,2,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,26,2018,3,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1015,100,2,75,1,0,0,0,0
7,26,2018,4,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,26,2018,5,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,26,2018,6,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,26,2018,7,0,5,351.0,9.0,39.0,0.0,0,0,0,19,1016,93,3,75,1,0,0,0,0
7,26,2018,8,0,5,351.0,9.0,39.0,0.0,0,0,0,19,1016,88,3,75,1,0,0,0,0
7,26,2018,9,0,5,351.0,9.0,39.0,0.0,0,0,0,20,1017,88,3,40,1,0,0,0,0
7,26,2018,10,0,5,351.0,9.0,39.0,0.0,0,0,0,21,1017,83,5,40,1,0,0,0,0
7,26,2018,11,0,5,351.0,9.0,39.0,0.0,0,0,0,21,1016,83,5,20,1,0,0,0,0
7,26,2018,12,0,5,351.0,9.0,39.0,0.0,0,0,0,22,1016,78,5,20,1,0,0,0,0
7,26,2018,13,0,5,351.0,12.0,29.25,9.75,0,0,0,21,1016,73,5,20,1,0,0,0,0
7,26,2018,14,0,5,351.0,9.0,39.0,0.0,0,0,0,22,1016,68,5,20,1,0,0,0,0
7,26,2018,15,0,5,351.0,16.0,21.9375,17.0625,0,0,0,21,1016,73,5,0,1,0,0,0,0
7,26,2018,16,0,5,351.0,9.0,39.0,0.0,0,0,0,21,1016,77,4,0,1,0,0,0,0
7,26,2018,17,0,5,351.0,13.0,27.0,12.0,0,0,0,20,1016,82,4,20,1,0,0,0,0
7,26,2018,18,0,5,351.0,14.0,25.071428571428573,13.928571428571427,710,109,1,21,1016,77,4,0,1,0,0,0,0
7,26,2018,19,0,5,351.0,9.0,39.0,0.0,0,0,0,19,1016,82,3,0,1,0,0,0,0
7,26,2018,20,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,2,0,1,0,0,0,0
7,26,2018,21,0,5,351.0,9.0,39.0,0.0,0,0,0,18,1017,88,0,0,1,0,0,0,0
7,26,2018,22,0,5,351.0,9.0,39.0,0.0,0,0,0,16,1016,93,0,0,1,0,0,0,0
7,26,2018,23,0,5,351.0,9.0,39.0,0.0,0,0,0,16,1016,93,0,0,1,0,0,0,0
7,27,2018,0,0,6,351.0,9.0,39.0,0.0,0,0,0,16,1016,100,0,75,1,0,0,0,0
7,27,2018,1,0,6,351.0,9.0,39.0,0.0,0,0,0,17,1016,93,0,75,1,0,0,0,0
7,27,2018,2,0,6,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,0,75,1,0,0,0,0
