"Mes","Dia","Ano","Hora","Minutos","Dia da semana","free_flow_distance","total_time","total_speed","diif_ranker","length_in_meters","delay_in_seconds","incidente","temperature","atmospheric_pressure","humidity","wind_speed","cloudiness","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,25,2018,0,0,4,1332.0,36.0,37.0,0.0,0,0,0,17,1016,100,1,75,1,0,0,0,0
7,25,2018,0,0,4,2256.0,48.0,47.0,0.0,0,0,0,17,1016,100,1,75,1,0,0,0,0
7,25,2018,1,0,4,1332.0,36.0,37.0,0.0,0,0,0,17,1015,100,2,75,1,0,0,0,0
7,25,2018,1,0,4,2256.0,48.0,47.0,0.0,0,0,0,17,1015,100,2,75,1,0,0,0,0
7,25,2018,2,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,2,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,3,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,3,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,4,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1015,93,1,75,1,0,0,0,0
7,25,2018,4,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1015,93,1,75,1,0,0,0,0
7,25,2018,5,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,5,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,6,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,25,2018,6,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,25,2018,7,0,4,1332.0,36.0,37.0,0.0,0,0,0,17,1016,100,2,75,1,0,0,0,0
7,25,2018,7,0,4,2256.0,48.0,47.0,0.0,0,0,0,17,1016,100,2,75,1,0,0,0,0
7,25,2018,8,0,4,1332.0,104.0,12.807692307692308,24.192307692307693,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,25,2018,8,0,4,2256.0,80.0,28.2,18.8,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,25,2018,9,0,4,1332.0,54.0,24.666666666666668,12.333333333333332,0,0,0,21,1016,77,0,75,1,0,0,0,0
7,25,2018,9,0,4,2256.0,75.0,30.08,16.92,0,0,0,21,1016,77,0,75,1,0,0,0,0
7,25,2018,10,0,4,1332.0,48.0,27.75,9.25,0,0,0,21,1016,83,2,40,1,0,0,0,0
7,25,2018,10,0,4,2256.0,125.0,18.048,28.952,0,0,0,21,1016,83,2,40,1,0,0,0,0
7,25,2018,11,0,4,1332.0,36.0,37.0,0.0,0,0,0,20,1016,88,3,75,1,0,0,0,0
7,25,2018,11,0,4,2256.0,48.0,47.0,0.0,0,0,0,20,1016,88,3,75,1,0,0,0,0
7,25,2018,12,0,4,1332.0,36.0,37.0,0.0,0,0,0,20,1015,88,3,75,1,0,0,0,0
7,25,2018,12,0,4,2256.0,150.0,15.04,31.96,0,0,0,20,1015,88,3,75,1,0,0,0,0
7,25,2018,13,0,4,1332.0,36.0,37.0,0.0,0,0,0,20,1015,88,2,75,1,0,0,0,0
7,25,2018,13,0,4,2256.0,48.0,47.0,0.0,0,0,0,20,1015,88,2,75,1,0,0,0,0
7,25,2018,14,0,4,1332.0,52.0,25.615384615384617,11.384615384615383,0,0,0,20,1015,88,3,40,1,0,0,0,0
7,25,2018,14,0,4,2256.0,77.0,29.2987012987013,17.7012987012987,0,0,0,20,1015,88,3,40,1,0,0,0,0
7,25,2018,15,0,4,1332.0,56.0,23.785714285714285,13.214285714285715,0,0,0,19,1015,88,3,40,1,0,0,0,0
7,25,2018,15,0,4,2256.0,70.0,32.22857142857143,14.771428571428572,0,0,0,19,1015,88,3,40,1,0,0,0,0
7,25,2018,16,0,4,1332.0,48.0,27.75,9.25,0,0,0,20,1015,82,2,20,1,0,0,0,0
7,25,2018,16,0,4,2256.0,62.0,36.38709677419355,10.612903225806448,0,0,0,20,1015,82,2,20,1,0,0,0,0
7,25,2018,17,0,4,1332.0,96.0,13.875,23.125,0,0,0,19,1015,88,2,75,1,0,0,0,0
7,25,2018,17,0,4,2256.0,132.0,17.09090909090909,29.90909090909091,0,0,0,19,1015,88,2,75,1,0,0,0,0
7,25,2018,18,0,4,1332.0,54.0,24.666666666666668,12.333333333333332,0,0,0,18,1015,100,1,75,1,0,0,0,0
7,25,2018,18,0,4,2256.0,90.0,25.066666666666666,21.933333333333334,0,0,0,18,1015,100,1,75,1,0,0,0,0
7,25,2018,19,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,25,2018,19,0,4,2256.0,66.0,34.18181818181818,12.81818181818182,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,25,2018,20,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,25,2018,20,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,25,2018,21,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1016,100,3,75,1,0,0,0,0
7,25,2018,21,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1016,100,3,75,1,0,0,0,0
7,25,2018,22,0,4,1332.0,36.0,37.0,0.0,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,25,2018,22,0,4,2256.0,72.0,31.333333333333332,15.666666666666668,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,25,2018,23,0,4,1296.0,37.0,35.027027027027025,0.9729729729729755,0,0,0,18,1016,100,3,75,1,0,0,0,0
7,25,2018,23,0,4,2256.0,48.0,47.0,0.0,0,0,0,18,1016,100,3,75,1,0,0,0,0
7,26,2018,0,0,5,1332.0,36.0,37.0,0.0,0,0,0,18,1016,100,1,75,1,0,0,0,0
7,26,2018,0,0,5,2256.0,48.0,47.0,0.0,0,0,0,18,1016,100,1,75,1,0,0,0,0
7,26,2018,1,0,5,1332.0,36.0,37.0,0.0,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,26,2018,1,0,5,2256.0,48.0,47.0,0.0,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,26,2018,2,0,5,1332.0,36.0,37.0,0.0,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,26,2018,2,0,5,2256.0,48.0,47.0,0.0,0,0,0,18,1016,100,2,75,1,0,0,0,0
7,26,2018,3,0,5,1332.0,36.0,37.0,0.0,0,0,0,18,1015,100,2,75,1,0,0,0,0
7,26,2018,3,0,5,2256.0,48.0,47.0,0.0,0,0,0,18,1015,100,2,75,1,0,0,0,0
7,26,2018,4,0,5,1332.0,36.0,37.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,26,2018,4,0,5,2256.0,48.0,47.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,26,2018,5,0,5,1332.0,36.0,37.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,26,2018,5,0,5,2256.0,48.0,47.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,26,2018,6,0,5,1332.0,36.0,37.0,0.0,0,0,0,18,1016,93,3,75,1,0,0,0,0
