"Mes","Dia","Ano","Hora","Minutos","Dia da semana","free_flow_distance","total_time","total_speed","diif_ranker","length_in_meters","delay_in_seconds","incidente","temperature","atmospheric_pressure","humidity","wind_speed","cloudiness","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,24,2018,16,0,3,1720.0,43.0,40.0,0.0,0,0,0,20,1016,82,4,20,1,0,0,0,0
7,24,2018,17,0,3,1720.0,43.0,40.0,0.0,0,0,0,20,1016,82,4,20,1,0,0,0,0
7,24,2018,18,0,3,1720.0,69.0,24.92753623188406,15.072463768115941,0,0,0,18,1016,93,3,75,1,0,0,0,0
7,24,2018,19,0,3,1720.0,69.0,24.92753623188406,15.072463768115941,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,24,2018,20,0,3,1720.0,43.0,40.0,0.0,0,0,0,17,1016,100,3,75,1,0,0,0,0
7,24,2018,21,0,3,1720.0,43.0,40.0,0.0,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,24,2018,22,0,3,1720.0,43.0,40.0,0.0,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,24,2018,23,0,3,1720.0,43.0,40.0,0.0,0,0,0,18,1016,93,0,75,1,0,0,0,0
7,25,2018,0,0,4,1720.0,43.0,40.0,0.0,0,0,0,17,1016,100,1,75,1,0,0,0,0
7,25,2018,1,0,4,1720.0,43.0,40.0,0.0,0,0,0,17,1015,100,2,75,1,0,0,0,0
7,25,2018,2,0,4,1720.0,43.0,40.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,3,0,4,1720.0,43.0,40.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,4,0,4,1720.0,43.0,40.0,0.0,0,0,0,18,1015,93,1,75,1,0,0,0,0
7,25,2018,5,0,4,1720.0,43.0,40.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,6,0,4,1720.0,43.0,40.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,25,2018,7,0,4,1720.0,43.0,40.0,0.0,0,0,0,17,1016,100,2,75,1,0,0,0,0
7,25,2018,8,0,4,1720.0,43.0,40.0,0.0,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,25,2018,9,0,4,1720.0,43.0,40.0,0.0,0,0,0,21,1016,77,0,75,1,0,0,0,0
7,25,2018,10,0,4,1720.0,43.0,40.0,0.0,0,0,0,21,1016,83,2,40,1,0,0,0,0
7,25,2018,11,0,4,1720.0,133.0,12.93233082706767,27.06766917293233,0,0,0,20,1016,88,3,75,1,0,0,0,0
7,25,2018,12,0,4,1720.0,67.0,25.671641791044777,14.328358208955223,0,0,0,20,1015,88,3,75,1,0,0,0,0
7,25,2018,13,0,4,1720.0,43.0,40.0,0.0,0,0,0,20,1015,88,2,75,1,0,0,0,0
7,25,2018,14,0,4,1720.0,56.0,30.714285714285715,9.285714285714285,0,0,0,20,1015,88,3,40,1,0,0,0,0
7,25,2018,15,0,4,1720.0,58.0,29.655172413793103,10.344827586206897,0,0,0,19,1015,88,3,40,1,0,0,0,0
7,25,2018,16,0,4,1720.0,43.0,40.0,0.0,0,0,0,20,1015,82,2,20,1,0,0,0,0
