"Mes","Dia","Ano","Hora","Minutos","Dia da semana","free_flow_distance","total_time","total_speed","diif_ranker","length_in_meters","delay_in_seconds","incidente","temperature","atmospheric_pressure","humidity","wind_speed","cloudiness","no_rain","chuva_fraca","chuva","chuva_trovoada","chuva_intensa"
7,25,2018,0,0,4,351.0,9.0,39.0,0.0,0,0,0,17,1016,100,1,75,1,0,0,0,0
7,25,2018,0,0,4,5561.0,83.0,67.0,0.0,0,0,0,17,1016,100,1,75,1,0,0,0,0
7,25,2018,0,0,4,1720.0,40.0,43.0,0.0,0,0,0,17,1016,100,1,75,1,0,0,0,0
7,25,2018,1,0,4,351.0,9.0,39.0,0.0,0,0,0,17,1015,100,2,75,1,0,0,0,0
7,25,2018,1,0,4,5561.0,83.0,67.0,0.0,0,0,0,17,1015,100,2,75,1,0,0,0,0
7,25,2018,1,0,4,1720.0,40.0,43.0,0.0,0,0,0,17,1015,100,2,75,1,0,0,0,0
7,25,2018,2,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,2,0,4,5561.0,83.0,67.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,2,0,4,1720.0,40.0,43.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,3,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,3,0,4,5561.0,83.0,67.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,3,0,4,1720.0,40.0,43.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,4,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,1,75,1,0,0,0,0
7,25,2018,4,0,4,5561.0,83.0,67.0,0.0,0,0,0,18,1015,93,1,75,1,0,0,0,0
7,25,2018,4,0,4,1720.0,40.0,43.0,0.0,0,0,0,18,1015,93,1,75,1,0,0,0,0
7,25,2018,5,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,5,0,4,5561.0,83.0,67.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,5,0,4,1720.0,40.0,43.0,0.0,0,0,0,18,1015,93,2,75,1,0,0,0,0
7,25,2018,6,0,4,351.0,9.0,39.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,25,2018,6,0,4,5561.0,83.0,67.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,25,2018,6,0,4,1720.0,40.0,43.0,0.0,0,0,0,18,1016,93,2,75,1,0,0,0,0
7,25,2018,7,0,4,351.0,9.0,39.0,0.0,0,0,0,17,1016,100,2,75,1,0,0,0,0
7,25,2018,7,0,4,5561.0,83.0,67.0,0.0,0,0,0,17,1016,100,2,75,1,0,0,0,0
7,25,2018,7,0,4,1720.0,40.0,43.0,0.0,0,0,0,17,1016,100,2,75,1,0,0,0,0
7,25,2018,8,0,4,351.0,12.0,29.25,9.75,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,25,2018,8,0,4,5561.0,214.0,25.985981308411215,41.01401869158879,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,25,2018,8,0,4,1720.0,91.0,18.9010989010989,24.0989010989011,0,0,0,18,1016,93,1,75,1,0,0,0,0
7,25,2018,9,0,4,351.0,9.0,39.0,0.0,0,0,0,21,1016,77,0,75,1,0,0,0,0
7,25,2018,9,0,4,5561.0,83.0,67.0,0.0,615,165,1,21,1016,77,0,75,1,0,0,0,0
