Mes,Dia,Ano,Hora,Minutos,Dia da semana,city_name,road_num,road_name,current_speed,free_flow_speed,speed_diff,current_travel_time,free_flow_travel_time,time_diff,elimina
7,25,2018,23,0,4,missing,,N14 Bosch,47,47,0,48,48,0,1
7,25,2018,23,0,4,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,1
7,25,2018,23,0,4,missing,,Rua Nova Santa Cruz,41,43,2,42,39,3,1
7,25,2018,23,0,4,missing,,Rua Costa Gomes,20,40,20,20,42,-21,1
7,25,2018,23,0,4,missing,,Avenida da Liberdade,24,25,0,128,124,4,1
7,25,2018,23,0,4,missing,,Rua de Caires,35,36,1,38,36,1,1
7,25,2018,23,0,4,missing,,Avenida Central,24,25,0,128,124,4,1
7,25,2018,23,0,4,missing,,Avenida João Paulo II,39,39,0,9,9,0,1
7,26,2018,23,0,5,missing,,N14 Bosch,42,47,4,77,48,29,2
7,26,2018,23,0,5,missing,,Avenida Padre Júlio Fragata,65,67,1,86,83,3,2
7,26,2018,23,0,5,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,2
7,26,2018,23,0,5,missing,,Rua Costa Gomes,20,40,20,20,42,-21,2
7,26,2018,23,0,5,missing,,Avenida da Liberdade,25,25,0,124,124,0,2
7,26,2018,23,0,5,missing,,Rua de Caires,36,36,0,36,36,0,2
7,26,2018,23,0,5,missing,,Avenida Central,25,25,0,124,124,0,2
7,26,2018,23,0,5,missing,,Avenida João Paulo II,39,39,0,9,9,0,2
7,27,2018,11,0,6,missing,,N14 Bosch,29,47,17,82,48,34,3
7,27,2018,11,0,6,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,3
7,27,2018,11,0,6,missing,,Rua Nova Santa Cruz,37,43,5,48,39,8,3
7,27,2018,11,0,6,missing,,Rua Costa Gomes,16,40,24,27,42,-15,3
7,27,2018,11,0,6,missing,,Avenida da Liberdade,19,25,5,179,124,55,3
7,27,2018,11,0,6,missing,,Rua de Caires,25,36,10,54,36,17,3
7,27,2018,11,0,6,missing,,Avenida Central,19,25,5,179,124,55,3
7,27,2018,11,0,6,missing,,Avenida João Paulo II,35,39,3,10,9,1,3
7,27,2018,12,0,6,missing,,N14 Bosch,39,47,7,64,48,16,4
7,27,2018,12,0,6,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,4
7,27,2018,12,0,6,missing,,Rua Nova Santa Cruz,36,43,6,62,39,23,4
7,27,2018,12,0,6,missing,,Rua Costa Gomes,14,40,26,30,42,-12,4
7,27,2018,12,0,6,missing,,Avenida da Liberdade,20,25,4,158,124,34,4
7,27,2018,12,0,6,missing,,Rua de Caires,33,36,2,40,36,3,4
7,27,2018,12,0,6,missing,,Avenida Central,20,25,4,158,124,34,4
7,27,2018,12,0,6,missing,,Avenida João Paulo II,34,39,4,10,9,1,4
7,27,2018,13,0,6,missing,,N14 Bosch,27,47,19,140,48,92,5
7,27,2018,13,0,6,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,5
7,27,2018,13,0,6,missing,,Rua Nova Santa Cruz,32,43,10,88,39,49,5
7,27,2018,13,0,6,missing,,Rua Costa Gomes,17,40,23,24,42,-17,5
7,27,2018,13,0,6,missing,,Avenida da Liberdade,23,25,1,134,124,10,5
7,27,2018,13,0,6,missing,,Rua de Caires,29,36,6,46,36,10,5
7,27,2018,13,0,6,missing,,Avenida Central,23,25,1,134,124,10,5
7,27,2018,13,0,6,missing,,Avenida João Paulo II,37,39,1,9,9,0,5
7,27,2018,14,0,6,missing,,N14 Bosch,28,47,18,94,48,46,6
7,27,2018,14,0,6,missing,,Avenida Padre Júlio Fragata,63,67,3,89,83,6,6
7,27,2018,14,0,6,missing,,Rua Nova Santa Cruz,39,43,4,45,39,6,6
7,27,2018,14,0,6,missing,,Rua Costa Gomes,15,40,24,27,42,-14,6
7,27,2018,14,0,6,missing,,Avenida da Liberdade,21,25,3,154,124,30,6
7,27,2018,14,0,6,missing,,Rua de Caires,30,36,5,45,36,8,6
7,27,2018,14,0,6,missing,,Avenida Central,21,25,3,154,124,30,6
7,27,2018,14,0,6,missing,,Avenida João Paulo II,36,39,3,10,9,1,6
7,27,2018,15,0,6,missing,,N14 Bosch,41,47,5,55,48,7,7
7,27,2018,15,0,6,missing,,Avenida Padre Júlio Fragata,54,67,12,118,83,35,7
7,27,2018,15,0,6,missing,,Rua Nova Santa Cruz,38,43,5,48,39,9,7
7,27,2018,15,0,6,missing,,Rua Costa Gomes,15,40,25,28,42,-14,7
7,27,2018,15,0,6,missing,,Avenida da Liberdade,19,25,5,163,124,39,7
7,27,2018,15,0,6,missing,,Rua de Caires,28,36,7,53,36,16,7
7,27,2018,15,0,6,missing,,Avenida Central,19,25,5,163,124,39,7
7,27,2018,15,0,6,missing,,Avenida João Paulo II,31,39,7,12,9,3,7
7,27,2018,16,0,6,missing,,N14 Bosch,23,47,23,110,48,62,8
7,27,2018,16,0,6,missing,,Avenida Padre Júlio Fragata,51,67,15,114,83,31,8
7,27,2018,16,0,6,missing,,Rua Nova Santa Cruz,35,43,8,56,39,17,8
7,27,2018,16,0,6,missing,,Rua Costa Gomes,15,40,25,28,42,-14,8
7,27,2018,16,0,6,missing,,Avenida da Liberdade,15,25,9,227,124,103,8
7,27,2018,16,0,6,missing,,Rua de Caires,26,36,9,51,36,14,8
7,27,2018,16,0,6,missing,,Avenida Central,15,25,9,227,124,103,8
7,27,2018,16,0,6,missing,,Avenida João Paulo II,34,39,4,10,9,1,8
7,27,2018,17,0,6,missing,,N14 Bosch,19,47,27,124,48,76,9
7,27,2018,17,0,6,missing,,Avenida Padre Júlio Fragata,44,67,22,142,83,59,9
7,27,2018,17,0,6,missing,,Rua Nova Santa Cruz,35,43,8,63,39,24,9
7,27,2018,17,0,6,missing,,Rua Costa Gomes,11,40,29,39,42,-2,9
7,27,2018,17,0,6,missing,,Avenida da Liberdade,15,25,9,251,124,127,9
7,27,2018,17,0,6,missing,,Rua de Caires,22,36,13,79,36,42,9
7,27,2018,17,0,6,missing,,Avenida Central,15,25,9,251,124,127,9
7,27,2018,17,0,6,missing,,Avenida João Paulo II,30,39,9,14,9,5,9
7,27,2018,18,0,6,missing,,N14 Bosch,23,47,23,122,48,74,10
7,27,2018,18,0,6,missing,,Avenida Padre Júlio Fragata,30,67,36,285,83,202,10
7,27,2018,18,0,6,missing,,Rua Nova Santa Cruz,38,43,5,52,39,13,10
7,27,2018,18,0,6,missing,,Rua Costa Gomes,8,40,32,65,42,22,10
7,27,2018,18,0,6,missing,,Avenida da Liberdade,18,25,6,184,124,60,10
7,27,2018,18,0,6,missing,,Rua de Caires,27,36,8,50,36,14,10
7,27,2018,18,0,6,missing,,Avenida Central,18,25,6,184,124,60,10
7,27,2018,18,0,6,missing,,Avenida João Paulo II,23,39,15,25,9,16,10
7,27,2018,19,0,6,missing,,N14 Bosch,29,47,18,91,48,43,11
7,27,2018,19,0,6,missing,,Avenida Padre Júlio Fragata,31,67,35,209,83,126,11
7,27,2018,19,0,6,missing,,Rua Nova Santa Cruz,40,43,3,47,39,7,11
