"description","from_road","to_road","length_in_meters","delay_in_seconds","Year","Month (number)","Day of month","Hour","Minute","rua_name","dupl_from","dupl_to"
slow traffic,Rua do Caires,N101,910,56,2018,7,24,18,0,Rua do Caires,0,0
stationary traffic,Avenida Central,Praça Alexandre Herculano / Avenida General Norton de Matos,220,142,2018,7,24,18,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1510,131,2018,7,24,18,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,170,2018,7,24,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,São Vicente,Avenida Padre Júlio Fragata,615,165,2018,7,25,9,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Avenida General Norton de Matos / Rua de São Vicente,250,120,2018,7,25,11,0,Avenida Central,0,0
stationary traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1360,298,2018,7,25,15,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),540,59,2018,7,25,16,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,554,2018,7,25,16,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),470,31,2018,7,25,17,0,Avenida João Paulo II,0,0
stationary traffic,Avenida João Paulo II,Avenida Padre Júlio Fragata,210,165,2018,7,25,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,7,26,11,0,Avenida Central,0,0
queuing traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),710,109,2018,7,26,18,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),520,33,2018,8,1,18,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Padre Júlio Fragata,Avenida Dom João II,180,295,2018,8,1,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),350,19,2018,8,1,19,0,Avenida João Paulo II,0,0
slow traffic,Rua das Palhotas,Avenida Padre Júlio Fragata,430,25,2018,8,2,17,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1010,47,2018,8,2,18,0,Avenida João Paulo II,0,0
queuing traffic,Rua do Carregal,Avenida Padre Júlio Fragata,840,130,2018,8,3,14,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Rua do Caires,Rua Feliciano Ramos (N101),610,53,2018,8,3,17,0,Rua do Caires,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),450,20,2018,8,3,18,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Imaculada Conceição (N14) / Avenida da Liberdade (N309),Avenida João Paulo II,260,211,2018,8,4,8,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Avenida General Norton de Matos / Rua de São Vicente,250,171,2018,8,4,10,0,Avenida Central,0,0
stationary traffic,N103,Avenida João Paulo II,280,322,2018,8,4,11,0,Avenida João Paulo II,0,0
stationary traffic,Avenida João Paulo II,N14,350,182,2018,8,4,16,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,209,2018,8,6,17,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Rua do Caires,N101,820,60,2018,8,6,17,0,Rua do Caires,0,0
slow traffic,Rua do Caires,N101,1410,58,2018,8,6,18,0,Rua do Caires,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1550,110,2018,8,6,19,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,320,200,2018,8,7,16,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1210,128,2018,8,7,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,266,2018,8,7,17,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Rua do Caires,Avenida Padre Júlio Fragata,1250,116,2018,8,7,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Rua do Caires,N101,1090,101,2018,8,7,19,0,Rua do Caires,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1310,101,2018,8,7,19,0,Avenida João Paulo II,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,8,8,16,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1470,146,2018,8,8,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,275,229,2018,8,8,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,770,146,2018,8,8,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1420,175,2018,8,8,18,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1550,189,2018,8,8,19,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,8,9,15,0,Avenida Central,0,0
queuing traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),690,51,2018,8,9,17,0,Avenida João Paulo II,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,8,9,18,0,Avenida Central,0,0
queuing traffic,Rua do Caires,N101,800,90,2018,8,9,18,0,Rua do Caires,0,0
slow traffic,Avenida João Paulo II,Rua Cónego Luciano Afonso dos Santos (N101) / Rua Feliciano Ramos (N101),1200,94,2018,8,9,19,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,367,2018,8,10,10,0,Avenida da Liberdade,0,0
stationary traffic,Avenida João Paulo II,Avenida da Imaculada Conceição (N14) / Avenida da Liberdade (N309),510,129,2018,8,10,10,0,Avenida João Paulo II,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,817,2018,8,10,11,0,Avenida da Liberdade,0,0
stationary traffic,Avenida Central,Praça Alexandre Herculano / Avenida General Norton de Matos,220,103,2018,8,10,11,0,Avenida Central,0,0
stationary traffic,Avenida da Liberdade,Avenida 31 de Janeiro / Rua Beato Miguel de Carvalho,500,367,2018,8,10,12,0,Avenida da Liberdade,0,0
