"Mes","Dia","Ano","Hora","Minutos","Dia da semana","city_name","road_num","road_name","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff"
7,24,2018,16,0,3,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,24,2018,16,0,3,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,24,2018,16,0,3,"Braga",3,"Rua de Caires",28,37,9,48,36,12
7,24,2018,16,0,3,"Braga",4,"N14 Bosch",21,47,26,107,48,59
7,24,2018,16,0,3,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,24,2018,16,0,3,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,24,2018,16,0,3,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,24,2018,16,0,3,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,24,2018,17,0,3,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,24,2018,17,0,3,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,24,2018,17,0,3,"Braga",3,"Rua de Caires",23,37,14,59,36,23
7,24,2018,17,0,3,"Braga",4,"N14 Bosch",12,47,35,187,48,139
7,24,2018,17,0,3,"Braga",5,"Avenida João Paulo II",21,39,18,17,9,8
7,24,2018,17,0,3,"Braga",6,"Avenida Padre Júlio Fragata",17,67,50,328,83,245
7,24,2018,17,0,3,"Braga",7,"Rua Nova Santa Cruz",32,43,11,54,40,14
7,24,2018,17,0,3,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,24,2018,18,0,3,"Braga",1,"Avenida da Liberdade",18,25,7,172,124,48
7,24,2018,18,0,3,"Braga",2,"Avenida Central",18,25,7,172,124,48
7,24,2018,18,0,3,"Braga",3,"Rua de Caires",27,37,10,50,36,14
7,24,2018,18,0,3,"Braga",4,"N14 Bosch",10,47,37,225,48,177
7,24,2018,18,0,3,"Braga",5,"Avenida João Paulo II",10,39,29,35,9,26
7,24,2018,18,0,3,"Braga",6,"Avenida Padre Júlio Fragata",23,67,44,242,83,159
7,24,2018,18,0,3,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,24,2018,18,0,3,"Braga",8,"Rua Costa Gomes",25,40,15,69,43,26
7,24,2018,19,0,3,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,24,2018,19,0,3,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,24,2018,19,0,3,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,24,2018,19,0,3,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,24,2018,19,0,3,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
