Mes, Dia, Ano, Hora, Minutos, Dia da semana
7,24,2018,16,0,3
7,24,2018,17,0,3
7,24,2018,18,0,3
7,24,2018,19,0,3
7,24,2018,20,0,3
7,24,2018,21,0,3
7,24,2018,22,0,3
7,24,2018,23,0,3
7,25,2018,0,0,4
7,25,2018,1,0,4
7,25,2018,2,0,4
7,25,2018,3,0,4
7,25,2018,4,0,4
7,25,2018,5,0,4
7,25,2018,6,0,4
7,25,2018,7,0,4
7,25,2018,8,0,4
7,25,2018,9,0,4
7,25,2018,10,0,4
7,25,2018,11,0,4
7,25,2018,12,0,4
7,25,2018,13,0,4
7,25,2018,14,0,4
7,25,2018,15,0,4
7,25,2018,16,0,4
7,25,2018,17,0,4
7,25,2018,18,0,4
7,25,2018,19,0,4
7,25,2018,20,0,4
7,25,2018,21,0,4
7,25,2018,22,0,4
7,25,2018,23,0,4
7,26,2018,0,0,5
7,26,2018,1,0,5
7,26,2018,2,0,5
7,26,2018,3,0,5
7,26,2018,4,0,5
7,26,2018,5,0,5
7,26,2018,6,0,5
7,26,2018,7,0,5
7,26,2018,8,0,5
7,26,2018,9,0,5
7,26,2018,10,0,5
7,26,2018,11,0,5
7,26,2018,12,0,5
7,26,2018,13,0,5
7,26,2018,14,0,5
7,26,2018,15,0,5
7,26,2018,16,0,5
7,26,2018,17,0,5
7,26,2018,18,0,5
7,26,2018,19,0,5
7,26,2018,20,0,5
7,26,2018,21,0,5
7,26,2018,22,0,5
7,26,2018,23,0,5
7,27,2018,0,0,6
7,27,2018,1,0,6
7,27,2018,2,0,6
7,27,2018,3,0,6
7,27,2018,4,0,6
7,27,2018,5,0,6
7,27,2018,6,0,6
7,27,2018,7,0,6
7,27,2018,8,0,6
7,27,2018,9,0,6
7,27,2018,10,0,6
7,27,2018,11,0,6
7,27,2018,12,0,6
7,27,2018,13,0,6
7,27,2018,14,0,6
7,27,2018,15,0,6
7,27,2018,16,0,6
7,27,2018,17,0,6
7,27,2018,18,0,6
7,27,2018,19,0,6
7,27,2018,20,0,6
7,27,2018,21,0,6
7,27,2018,22,0,6
7,27,2018,23,0,6
7,28,2018,0,0,7
7,28,2018,1,0,7
7,28,2018,2,0,7
7,28,2018,3,0,7
7,28,2018,4,0,7
7,28,2018,5,0,7
7,28,2018,6,0,7
7,28,2018,7,0,7
7,28,2018,8,0,7
7,28,2018,9,0,7
7,28,2018,10,0,7
7,28,2018,11,0,7
7,28,2018,12,0,7
7,28,2018,13,0,7
7,28,2018,14,0,7
7,28,2018,15,0,7
7,28,2018,16,0,7
7,28,2018,17,0,7
7,28,2018,18,0,7
7,28,2018,19,0,7
7,28,2018,20,0,7
7,28,2018,21,0,7
7,28,2018,22,0,7
7,28,2018,23,0,7
7,29,2018,0,0,8
7,29,2018,1,0,8
7,29,2018,2,0,8
7,29,2018,3,0,8
7,29,2018,4,0,8
7,29,2018,5,0,8
7,29,2018,6,0,8
7,29,2018,7,0,8
7,29,2018,8,0,8
7,29,2018,9,0,8
7,29,2018,10,0,8
7,29,2018,11,0,8
7,29,2018,12,0,8
7,29,2018,13,0,8
7,29,2018,14,0,8
7,29,2018,15,0,8
7,29,2018,16,0,8
7,29,2018,17,0,8
7,29,2018,18,0,8
7,29,2018,19,0,8
7,29,2018,20,0,8
7,29,2018,21,0,8
7,29,2018,22,0,8
7,29,2018,23,0,8
7,30,2018,0,0,2
7,30,2018,1,0,2
7,30,2018,2,0,2
7,30,2018,3,0,2
7,30,2018,4,0,2
7,30,2018,5,0,2
7,30,2018,6,0,2
7,30,2018,7,0,2
7,30,2018,8,0,2
7,30,2018,9,0,2
7,30,2018,10,0,2
7,30,2018,11,0,2
7,30,2018,12,0,2
7,30,2018,13,0,2
7,30,2018,14,0,2
7,30,2018,15,0,2
7,30,2018,16,0,2
7,30,2018,17,0,2
7,30,2018,18,0,2
7,30,2018,19,0,2
7,30,2018,20,0,2
7,30,2018,21,0,2
7,30,2018,22,0,2
7,30,2018,23,0,2
7,31,2018,0,0,3
7,31,2018,1,0,3
7,31,2018,2,0,3
7,31,2018,3,0,3
7,31,2018,4,0,3
7,31,2018,5,0,3
7,31,2018,6,0,3
7,31,2018,7,0,3
7,31,2018,8,0,3
7,31,2018,9,0,3
7,31,2018,10,0,3
7,31,2018,11,0,3
7,31,2018,12,0,3
7,31,2018,13,0,3
7,31,2018,14,0,3
7,31,2018,15,0,3
7,31,2018,16,0,3
7,31,2018,17,0,3
7,31,2018,18,0,3
7,31,2018,19,0,3
7,31,2018,20,0,3
7,31,2018,21,0,3
7,31,2018,22,0,3
7,31,2018,23,0,3
8,1,2018,0,0,4
8,1,2018,1,0,4
8,1,2018,2,0,4
8,1,2018,3,0,4
8,1,2018,4,0,4
8,1,2018,5,0,4
8,1,2018,6,0,4
8,1,2018,7,0,4
8,1,2018,8,0,4
8,1,2018,9,0,4
8,1,2018,10,0,4
8,1,2018,11,0,4
8,1,2018,12,0,4
8,1,2018,13,0,4
8,1,2018,14,0,4
8,1,2018,15,0,4
8,1,2018,16,0,4
8,1,2018,17,0,4
8,1,2018,18,0,4
8,1,2018,19,0,4
8,1,2018,20,0,4
8,1,2018,21,0,4
8,1,2018,22,0,4
8,1,2018,23,0,4
8,2,2018,0,0,5
8,2,2018,1,0,5
8,2,2018,2,0,5
8,2,2018,3,0,5
8,2,2018,4,0,5
8,2,2018,5,0,5
8,2,2018,6,0,5
8,2,2018,7,0,5
8,2,2018,8,0,5
8,2,2018,9,0,5
8,2,2018,10,0,5
8,2,2018,11,0,5
8,2,2018,12,0,5
