Mes,Dia,Ano,Hora,Minutos,Dia da semana,free_flow_distance,total_time,total_speed,length_in_meters,delay_in_seconds,incidente,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,no_rain,chuva_fraca,chuva,chuva_trovoada,chuva_intensa,diif_ranker
7.0,25.0,2018.0,0.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1016.0,100.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,1.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1015.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,2.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,3.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,4.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,5.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,6.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,7.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1016.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,8.0,0.0,4.0,5561.0,214.0,25.986,0.0,0.0,0.0,18.0,1016.0,93.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,41.014
7.0,25.0,2018.0,9.0,0.0,4.0,5561.0,83.0,67.0,615.0,165.0,1.0,21.0,1016.0,77.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,10.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,83.0,2.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,11.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,20.0,1016.0,88.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,12.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,20.0,1015.0,88.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,13.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,20.0,1015.0,88.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,14.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,20.0,1015.0,88.0,3.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,15.0,0.0,4.0,5561.0,372.0,14.949,0.0,0.0,0.0,19.0,1015.0,88.0,3.0,40.0,1.0,0.0,0.0,0.0,0.0,52.051
7.0,25.0,2018.0,16.0,0.0,4.0,5561.0,279.0,19.932,320.0,554.0,1.0,20.0,1015.0,82.0,2.0,20.0,1.0,0.0,0.0,0.0,0.0,47.068
7.0,25.0,2018.0,17.0,0.0,4.0,5561.0,147.0,37.83,0.0,0.0,0.0,19.0,1015.0,88.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,29.17
7.0,25.0,2018.0,18.0,0.0,4.0,5561.0,293.0,18.98,210.0,165.0,1.0,18.0,1015.0,100.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,48.02
7.0,25.0,2018.0,19.0,0.0,4.0,5561.0,107.0,51.972,0.0,0.0,0.0,18.0,1016.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,15.028
7.0,25.0,2018.0,20.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,21.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,100.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,25.0,2018.0,22.0,0.0,4.0,5561.0,109.0,51.018,0.0,0.0,0.0,18.0,1016.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,15.982
7.0,25.0,2018.0,23.0,0.0,4.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,100.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,0.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,100.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,1.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,2.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,3.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,4.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,5.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,6.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,7.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,19.0,1016.0,93.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,8.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,19.0,1016.0,88.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,9.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,20.0,1017.0,88.0,3.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,10.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1017.0,83.0,5.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,11.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,83.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,12.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,22.0,1016.0,78.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,13.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,73.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,14.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,22.0,1016.0,68.0,5.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,15.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,73.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,16.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,21.0,1016.0,77.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,17.0,0.0,5.0,5561.0,136.0,40.89,0.0,0.0,0.0,20.0,1016.0,82.0,4.0,20.0,1.0,0.0,0.0,0.0,0.0,26.11
7.0,26.0,2018.0,18.0,0.0,5.0,5561.0,253.0,21.98,0.0,0.0,0.0,21.0,1016.0,77.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,45.02
7.0,26.0,2018.0,19.0,0.0,5.0,5561.0,107.0,51.972,0.0,0.0,0.0,19.0,1016.0,82.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,15.028
7.0,26.0,2018.0,20.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1016.0,93.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,21.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1017.0,88.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,22.0,0.0,5.0,5561.0,83.0,67.0,0.0,0.0,0.0,16.0,1016.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,26.0,2018.0,23.0,0.0,5.0,5561.0,86.0,64.663,0.0,0.0,0.0,16.0,1016.0,93.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.337
7.0,27.0,2018.0,0.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,16.0,1016.0,100.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,1.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1016.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,2.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,3.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,18.0,1015.0,93.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,4.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1015.0,100.0,3.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,5.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1015.0,100.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7.0,27.0,2018.0,6.0,0.0,6.0,5561.0,83.0,67.0,0.0,0.0,0.0,17.0,1015.0,97.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
