"Mes","Dia","Ano","Hora","Minutos","Dia da semana","city_name","road_num","road_name","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff","elimina"
7,25,2018,23,0,4,"missing",,,,,,,,,1
7,26,2018,23,0,5,"missing",,,,,,,,,2
7,27,2018,11,0,6,"missing",,,,,,,,,3
7,27,2018,12,0,6,"missing",,,,,,,,,4
7,27,2018,13,0,6,"missing",,,,,,,,,5
7,27,2018,14,0,6,"missing",,,,,,,,,6
7,27,2018,15,0,6,"missing",,,,,,,,,7
7,27,2018,16,0,6,"missing",,,,,,,,,8
7,27,2018,17,0,6,"missing",,,,,,,,,9
7,27,2018,18,0,6,"missing",,,,,,,,,10
7,27,2018,19,0,6,"missing",,,,,,,,,11
7,27,2018,20,0,6,"missing",,,,,,,,,12
7,27,2018,21,0,6,"missing",,,,,,,,,13
7,27,2018,22,0,6,"missing",,,,,,,,,14
7,27,2018,23,0,6,"missing",,,,,,,,,15
8,2,2018,6,0,5,"missing",,,,,,,,,122
8,2,2018,8,0,5,"missing",,,,,,,,,123
8,2,2018,9,0,5,"missing",,,,,,,,,124
8,6,2018,14,0,2,"missing",,,,,,,,,125
8,8,2018,7,0,4,"missing",,,,,,,,,126
8,8,2018,15,0,4,"missing",,,,,,,,,127
8,9,2018,6,0,5,"missing",,,,,,,,,128
8,9,2018,8,0,5,"missing",,,,,,,,,129
8,11,2018,10,0,7,"missing",,,,,,,,,130
8,11,2018,11,0,7,"missing",,,,,,,,,131
8,11,2018,14,0,7,"missing",,,,,,,,,132
8,11,2018,17,0,7,"missing",,,,,,,,,133
8,11,2018,18,0,7,"missing",,,,,,,,,134
8,11,2018,20,0,7,"missing",,,,,,,,,135
8,21,2018,9,0,3,"missing",,,,,,,,,136
8,25,2018,9,0,7,"missing",,,,,,,,,137
8,25,2018,10,0,7,"missing",,,,,,,,,138
9,1,2018,11,0,7,"missing",,,,,,,,,139
9,1,2018,13,0,7,"missing",,,,,,,,,140
9,1,2018,14,0,7,"missing",,,,,,,,,141
9,2,2018,8,0,8,"missing",,,,,,,,,142
9,2,2018,11,0,8,"missing",,,,,,,,,143
9,2,2018,15,0,8,"missing",,,,,,,,,144
9,2,2018,16,0,8,"missing",,,,,,,,,145
9,2,2018,18,0,8,"missing",,,,,,,,,146
9,4,2018,4,0,3,"missing",,,,,,,,,147
9,11,2018,14,0,3,"missing",,,,,,,,,148
9,19,2018,14,0,4,"missing",,,,,,,,,149
9,19,2018,15,0,4,"missing",,,,,,,,,150
9,19,2018,16,0,4,"missing",,,,,,,,,151
9,19,2018,17,0,4,"missing",,,,,,,,,152
9,19,2018,18,0,4,"missing",,,,,,,,,153
9,19,2018,19,0,4,"missing",,,,,,,,,154
9,19,2018,20,0,4,"missing",,,,,,,,,155
9,19,2018,21,0,4,"missing",,,,,,,,,156
9,19,2018,22,0,4,"missing",,,,,,,,,157
9,19,2018,23,0,4,"missing",,,,,,,,,158
9,21,2018,0,0,6,"missing",,,,,,,,,183
9,21,2018,1,0,6,"missing",,,,,,,,,184
9,21,2018,2,0,6,"missing",,,,,,,,,185
9,21,2018,3,0,6,"missing",,,,,,,,,186
9,21,2018,4,0,6,"missing",,,,,,,,,187
9,21,2018,5,0,6,"missing",,,,,,,,,188
9,21,2018,6,0,6,"missing",,,,,,,,,189
9,21,2018,7,0,6,"missing",,,,,,,,,190
9,21,2018,8,0,6,"missing",,,,,,,,,191
9,21,2018,9,0,6,"missing",,,,,,,,,192
9,21,2018,10,0,6,"missing",,,,,,,,,193
9,21,2018,11,0,6,"missing",,,,,,,,,194
10,22,2018,7,0,2,"missing",,,,,,,,,195
10,22,2018,12,0,2,"missing",,,,,,,,,196
10,24,2018,7,0,4,"missing",,,,,,,,,197
10,24,2018,8,0,4,"missing",,,,,,,,,198
10,24,2018,9,0,4,"missing",,,,,,,,,199
10,24,2018,10,0,4,"missing",,,,,,,,,200
10,29,2018,6,0,2,"missing",,,,,,,,,201
11,12,2018,3,0,2,"missing",,,,,,,,,202
11,12,2018,5,0,2,"missing",,,,,,,,,203
11,15,2018,16,0,5,"missing",,,,,,,,,204
11,19,2018,12,0,2,"missing",,,,,,,,,205
12,9,2018,15,0,8,"missing",,,,,,,,,206
12,9,2018,17,0,8,"missing",,,,,,,,,207
12,12,2018,13,0,4,"missing",,,,,,,,,208
12,12,2018,14,0,4,"missing",,,,,,,,,209
12,12,2018,15,0,4,"missing",,,,,,,,,210
12,12,2018,16,0,4,"missing",,,,,,,,,211
12,12,2018,17,0,4,"missing",,,,,,,,,212
12,12,2018,18,0,4,"missing",,,,,,,,,213
12,12,2018,19,0,4,"missing",,,,,,,,,214
12,12,2018,20,0,4,"missing",,,,,,,,,215
12,12,2018,21,0,4,"missing",,,,,,,,,216
12,12,2018,22,0,4,"missing",,,,,,,,,217
12,12,2018,23,0,4,"missing",,,,,,,,,218
1,15,2019,0,0,3,"missing",,,,,,,,,1011
1,15,2019,1,0,3,"missing",,,,,,,,,1012
1,15,2019,2,0,3,"missing",,,,,,,,,1013
1,15,2019,3,0,3,"missing",,,,,,,,,1014
1,15,2019,4,0,3,"missing",,,,,,,,,1015
1,15,2019,5,0,3,"missing",,,,,,,,,1016
1,15,2019,6,0,3,"missing",,,,,,,,,1017
1,15,2019,7,0,3,"missing",,,,,,,,,1018
1,15,2019,8,0,3,"missing",,,,,,,,,1019
1,15,2019,9,0,3,"missing",,,,,,,,,1020
1,15,2019,10,0,3,"missing",,,,,,,,,1021
1,15,2019,11,0,3,"missing",,,,,,,,,1022
1,15,2019,12,0,3,"missing",,,,,,,,,1023
1,15,2019,13,0,3,"missing",,,,,,,,,1024
1,15,2019,14,0,3,"missing",,,,,,,,,1025
1,15,2019,15,0,3,"missing",,,,,,,,,1026
1,15,2019,16,0,3,"missing",,,,,,,,,1027
1,15,2019,17,0,3,"missing",,,,,,,,,1028
1,15,2019,18,0,3,"missing",,,,,,,,,1029
1,16,2019,7,0,4,"missing",,,,,,,,,1030
1,23,2019,7,0,4,"missing",,,,,,,,,1031
1,24,2019,17,0,5,"missing",,,,,,,,,1032
2,4,2019,0,0,2,"missing",,,,,,,,,1033
2,6,2019,4,0,4,"missing",,,,,,,,,1034
2,6,2019,5,0,4,"missing",,,,,,,,,1035
2,6,2019,6,0,4,"missing",,,,,,,,,1036
2,13,2019,8,0,4,"missing",,,,,,,,,1037
2,14,2019,13,0,5,"missing",,,,,,,,,1038
2,15,2019,1,0,6,"missing",,,,,,,,,1039
2,20,2019,13,0,4,"missing",,,,,,,,,1040
2,21,2019,15,0,5,"missing",,,,,,,,,1041
2,22,2019,15,0,6,"missing",,,,,,,,,1042
