Mes,Dia,Ano,Hora,Minutos,Dia da semana,free_flow_distance,total_time,total_speed,length_in_meters,delay_in_seconds,incidente,temperature,atmospheric_pressure,humidity,wind_speed,cloudiness,no_rain,chuva_fraca,chuva,chuva_trovoada,chuva_intensa,diif_ranker
7,25,2018,0,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,17.0,1016.0,100.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,1,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,17.0,1015.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,2,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1015.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,3,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1015.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,4,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1015.0,93.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,5,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1015.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,6,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,18.0,1016.0,93.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,7,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,17.0,1016.0,100.0,2.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,8,0,4,2544.0,105.667,24.712,0.0,0.0,0.0,18.0,1016.0,93.0,1.0,75.0,1.0,0.0,0.0,0.0,0.0,24.954
7,25,2018,9,0,4,2544.0,44.0,49.667,205.0,55.0,0.333,21.0,1016.0,77.0,0.0,75.0,1.0,0.0,0.0,0.0,0.0,0.0
7,25,2018,10,0,4,2544.0,44.0,49.667,0.0,0.0,0.0,21.0,1016.0,83.0,2.0,40.0,1.0,0.0,0.0,0.0,0.0,0.0
